loss,accuracy,val_loss,val_accuracy,lr
1.2773945331573486,0.3890624940395355,1.12055242061615,0.5249999761581421,1e-04
1.1000819206237793,0.538281261920929,0.9949787855148315,0.559374988079071,1e-04
1.0411399602890015,0.57421875,0.9129743576049805,0.6937500238418579,1e-04
0.9247249364852905,0.6390625238418579,0.797584056854248,0.7124999761581421,1e-04
0.8406618237495422,0.6820312738418579,0.754001259803772,0.78125,1e-04
0.7865995168685913,0.69921875,0.7131161689758301,0.746874988079071,1e-04
0.7601240277290344,0.7085937261581421,0.6841387748718262,0.7562500238418579,1e-04
0.7233701348304749,0.7359374761581421,0.6315218806266785,0.815625011920929,1e-04
0.6812587976455688,0.7484375238418579,0.5987168550491333,0.815625011920929,1e-04
0.6610875129699707,0.757031261920929,0.6002125144004822,0.8031250238418579,1e-04
0.641734778881073,0.764843761920929,0.5722843408584595,0.828125,1e-04
0.6475075483322144,0.75390625,0.6265916228294373,0.8031250238418579,1e-04
0.604681134223938,0.784375011920929,0.5408622026443481,0.809374988079071,1e-04
0.5938062071800232,0.785937488079071,0.5659319162368774,0.8187500238418579,1e-04
0.5666436553001404,0.789843738079071,0.5022486448287964,0.8374999761581421,1e-04
0.5639249086380005,0.7953125238418579,0.5368154048919678,0.809374988079071,1e-04
0.6256774067878723,0.7632812261581421,0.5099190473556519,0.831250011920929,1e-04
0.5442997813224792,0.7984374761581421,0.5190435647964478,0.8218749761581421,1e-04
0.4974844455718994,0.8187500238418579,0.5015624761581421,0.8343750238418579,2e-05
0.4750649034976959,0.828125,0.46969500184059143,0.8218749761581421,2e-05
